failed_service,failed_mode,injected_severity,affected_service,graph_distance,baseline_error_rate,fault_window_error_rate,severity_delta,was_impacted,time_to_impact_ms,baseline_latency_ms,fault_window_latency_ms,latency_delta_ms,failed_betweenness,failed_in_degree,failed_out_degree,failed_is_articulation_point,affected_betweenness,affected_in_degree,affected_out_degree,has_direct_edge,direct_edge_timeout_ms,direct_edge_retries,fault_mode_down
svc-00,down,1.0,svc-01,,0.0,0.0,0.0,False,,257.2,231.3,-25.9,0.0,0,3,False,0.0,0,1,False,-1,-1,1
svc-00,down,1.0,svc-02,,0.0,0.0,0.0,False,,247.3,215.5,-31.8,0.0,0,3,False,0.0,0,2,False,-1,-1,1
svc-00,down,1.0,svc-03,,0.0,0.0,0.0,False,,257.6,208.2,-49.4,0.0,0,3,False,0.0,0,2,False,-1,-1,1
svc-00,down,1.0,svc-04,,0.0,0.0,0.0,False,,95.7,82.5,-13.2,0.0,0,3,False,0.0,1,1,False,-1,-1,1
svc-00,down,1.0,svc-05,,0.0,0.0,0.0,False,,220.7,185.3,-35.4,0.0,0,3,False,0.01838,3,3,False,-1,-1,1
svc-00,down,1.0,svc-06,,0.0,0.0,0.0,False,,154.4,109.6,-44.8,0.0,0,3,False,0.01103,1,3,False,-1,-1,1
svc-00,down,1.0,svc-07,,0.0,0.0,0.0,False,,159.9,120.8,-39.1,0.0,0,3,False,0.01838,1,5,False,-1,-1,1
svc-00,down,1.0,svc-08,,0.0,0.0,0.0,False,,229.5,162.9,-66.6,0.0,0,3,False,0.04412,2,5,False,-1,-1,1
svc-00,down,1.0,svc-09,,0.0,0.0,0.0,False,,252.8,184.1,-68.7,0.0,0,3,False,0.01838,1,3,False,-1,-1,1
svc-00,down,1.0,svc-10,,0.0,0.0,0.0,False,,19.5,17.8,-1.7,0.0,0,3,False,0.0,6,0,False,-1,-1,1
svc-00,down,1.0,svc-11,,0.0,0.0,0.0,False,,19.1,15.8,-3.3,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,1.0,svc-12,,0.0,0.0,0.0,False,,20.3,18.4,-1.9,0.0,0,3,False,0.0,1,0,False,-1,-1,1
svc-00,down,1.0,svc-13,,0.0,0.0,0.0,False,,20.9,18.4,-2.5,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,1.0,svc-14,,0.0,0.0,0.0,False,,21.1,17.8,-3.3,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,1.0,svc-15,,0.0,0.0,0.0,False,,20.9,17.5,-3.4,0.0,0,3,False,0.0,3,0,False,-1,-1,1
svc-00,down,1.0,svc-16,,0.0,0.0,0.0,False,,20.2,17.5,-2.7,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,1.0,svc-17,,0.0,0.0,0.0,False,,19.5,17.0,-2.5,0.0,0,3,False,0.0,1,0,False,-1,-1,1
svc-00,down,0.5,svc-01,,0.0,0.0,0.0,False,,227.5,220.7,-6.8,0.0,0,3,False,0.0,0,1,False,-1,-1,1
svc-00,down,0.5,svc-02,,0.0,0.0,0.0,False,,210.9,209.7,-1.2,0.0,0,3,False,0.0,0,2,False,-1,-1,1
svc-00,down,0.5,svc-03,,0.0,0.0,0.0,False,,222.5,216.3,-6.2,0.0,0,3,False,0.0,0,2,False,-1,-1,1
svc-00,down,0.5,svc-04,,0.0,0.0,0.0,False,,103.7,75.3,-28.4,0.0,0,3,False,0.0,1,1,False,-1,-1,1
svc-00,down,0.5,svc-05,,0.0,0.0,0.0,False,,191.0,173.3,-17.7,0.0,0,3,False,0.01838,3,3,False,-1,-1,1
svc-00,down,0.5,svc-06,,0.0,0.0,0.0,False,,118.4,116.6,-1.8,0.0,0,3,False,0.01103,1,3,False,-1,-1,1
svc-00,down,0.5,svc-07,,0.0,0.0,0.0,False,,134.9,112.8,-22.1,0.0,0,3,False,0.01838,1,5,False,-1,-1,1
svc-00,down,0.5,svc-08,,0.0,0.0,0.0,False,,190.8,173.9,-16.9,0.0,0,3,False,0.04412,2,5,False,-1,-1,1
svc-00,down,0.5,svc-09,,0.0,0.0,0.0,False,,217.6,204.0,-13.6,0.0,0,3,False,0.01838,1,3,False,-1,-1,1
svc-00,down,0.5,svc-10,,0.0,0.0,0.0,False,,16.2,15.5,-0.7,0.0,0,3,False,0.0,6,0,False,-1,-1,1
